Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.037566,0.013859,0.4427,0,0,0,18.929,0.61955,-0.020552,0.039836,0.72755,-0.056061,0.49855,0,0,0,0,0,0,package://Art/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/base_link.STL,,Main_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_wheel1,1.1102E-16,0.0255,-1.1102E-16,0,0,0,0.8446,0.0014524,-3.8688E-19,1.4813E-19,0.0025728,-3.6562E-19,0.0014524,0,0,0,0,0,0,package://Art/meshes/link_wheel1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/link_wheel1.STL,,Wheel-1,Origin_joint_wheel1,Axis_joint_wheel1,joint_wheel1,continuous,0,-0.2568,-0.07326,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_wheel2,0,0.0255,0,0,0,0,0.8446,0.0014524,-3.9805E-19,1.4013E-19,0.0025728,-3.9055E-19,0.0014524,0,0,0,0,0,0,package://Art/meshes/link_wheel2.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/link_wheel2.STL,,Wheel-2,Origin_joint_wheel2,Axis_joint_wheel2,joint_wheel2,continuous,0,0.2058,-0.07326,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_sweeper,-0.118974812224288,-0.00569987819571294,0.62703959498131,0,0,0,2.0630766298336,0.0217266121738267,-1.11981627703815E-05,-0.000422883505219814,0.0240866757433668,-2.74404247659959E-05,0.00292483559843762,0,0,0,0,0,0,package://Art/meshes/link_sweeper.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Art/meshes/link_sweeper.STL,,Sweeper-1,Origin_joint_sweeper,Axis_joint_sweeper,joint_sweeper,continuous,0.44159,0,-0.0627,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
link_foam,0.00270261873313471,0.510664588823056,0.034603922413234,0,0,0,16.4529910070151,0.373827181818088,-0.000110501116816829,0.00303185397530584,0.107364626536446,-0.00141483962411224,0.412409790185553,0,0,0,0,0,0,package://Art/meshes/link_foam.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Art/meshes/link_foam.STL,,Foam-1,Origin_joint_foam,Axis_joint_foam,joint_foam,continuous,-0.1319,-0.0823,0.88394,0,0,0,base_link,0,1,0,,,,,,,,,,,,
link_servo_gripper,0.0056935,-0.0001808,0.044811,0,0,0,0.075114,4.9306E-05,-1.6278E-09,-8.4092E-07,4.8314E-05,1.9885E-08,2.0275E-05,0,0,0,0,0,0,package://Art/meshes/link_servo_gripper.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/link_servo_gripper.STL,,servo_gripper-1,Origin_joint_servo_gripper,Axis_joint_servo_gripper,joint_servo_gripper,continuous,0.08,0.5373,0.9285,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
link_gripper_left,0.039765,-0.021066,0.0066152,0,0,0,0.011601,9.4935E-07,1.6743E-06,-3.3323E-08,5.2839E-06,1.6234E-08,6.0992E-06,0,0,0,0,0,0,package://Art/meshes/link_gripper_left.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/link_gripper_left.STL,,gripperLeft-2,Origin_joiny_gripper_left,Axis_joiny_gripper_left,joiny_gripper_left,continuous,0.0560000000000215,-0.00873501320112924,0.0362767948396809,0,0,0,link_servo_gripper,0,-0.0198992999000344,-0.999801989327631,,,,,,,,,,,,
link_gripper_right,0.043814,0.022018,0.0059238,0,0,0,0.010699,9.3617E-07,-1.7441E-06,3.4713E-08,4.7626E-06,1.6046E-08,5.5684E-06,0,0,0,0,0,0,package://Art/meshes/link_gripper_right.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/link_gripper_right.STL,,gripperRight-1,Origin_joint_gripper_right,Axis_joint_gripper_right,joint_gripper_right,continuous,0.0560000000000211,0.00825831588544101,0.0357724668483028,0,0,0,link_servo_gripper,0,-0.0198992999000344,-0.999801989327631,,,,,,,,,,,,
link_gripper,-0.0868812536550505,0.162184291079733,-0.21099322010557,0,0,0,0.429603684592923,0.0057537606945618,-9.98774651786145E-06,3.34084840002639E-05,0.0058025799979368,0.00172529643458475,0.00264012204998806,0,0,0,0,0,0,package://Art/meshes/link_gripper.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Art/meshes/link_gripper.STL,,Gripper-1,Origin_joint_gripper,Axis_joint_gripper,joint_gripper,continuous,0.0854,0.17714,0.24335,0,0,0,base_link,-1,0,0,,,,,,,,,,,,
link_gear_left,0.029535,0.080378,-0.047822,0,0,0,0.16339,0.00057128,-7.6781E-06,-4.529E-05,0.00032232,0.00011039,0.0005149,0,0,0,0,0,0,package://Art/meshes/link_gear_left.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/link_gear_left.STL,,GearLeft-1,Origin_joint_gear_left,Axis_joint_gear_left,joint_gear_left,continuous,-0.05869,0.25731,-0.28611,0,0,0,link_gripper,0,0.99893,0.046337,,,,,,,,,,,,
link_gear_right,-0.02981,0.080304,-0.047658,0,0,0,0.16345,0.00057203,8.4073E-06,4.4904E-05,0.00032244,0.00011047,0.00051462,0,0,0,0,0,0,package://Art/meshes/link_gear_right.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://Art/meshes/link_gear_right.STL,,GearRight-1,Origin_joint_gear_right,Axis_joint_gear_right,joint_gear_right,continuous,-0.112110130655963,0.257365431419489,-0.286111697251884,0,0,0,link_gripper,0,0.998925867461397,0.0463369325322188,,,,,,,,,,,,
link_flap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Art/meshes/link_flap.STL,1,1,1,1,0,0,0,0,0,0,package://Art/meshes/link_flap.STL,,FlapDoor-1,Origin_joint_flap,Axis_joint_flap,joint_flap,continuous,0.2373,-0.0331,0.4403,0,-0.00061058,0,base_link,0,-1,0,,,,,,,,,,,,
